Parametric p-value,FDR,Geom mean of intensities in class 1,Geom mean of intensities in class 2,Fold-change(KD/C),UniqueID,Symbol
0.0129095,1,1.08,1.96,1.8181818181818181,ENSG00000264009,AP001631.1
0.012917,1,1.01,1.34,1.3333333333333333,ENSG00000183785,TUBA8
0.012917,1,1.01,1.34,1.3333333333333333,ENSG00000226167,AP4B1-AS1
0.012932,1,1.11,2.03,1.8181818181818181,ENSG00000091129,NRCAM
0.0129567,1,467.8,281.65,0.6024096385542169,ENSG00000167693,NXN
0.0130021,1,1.01,1.41,1.4084507042253522,ENSG00000217275,RP1-34B20.4
0.013032,1,1.01,1.35,1.3333333333333333,ENSG00000237161,RP11-32B5.1
0.013032,1,1.01,1.35,1.3333333333333333,ENSG00000251175,RP11-45L9.1
0.0130578,1,1,1.49,1.4925373134328357,ENSG00000239480,RP11-514P8.2
0.0130578,1,1,1.49,1.4925373134328357,ENSG00000269388,AC018755.16
0.0131236,1,64.17,35.14,0.5464480874316939,ENSG00000103404,USP31
0.0131349,1,18.11,8.9,0.49019607843137253,ENSG00000122376,FAM35A
0.0132009,1,35.89,15.72,0.4385964912280702,ENSG00000176720,BOK
0.0132373,1,1.02,1.36,1.3333333333333333,ENSG00000231705,RP11-432J24.2
0.0132373,1,1.02,1.36,1.3333333333333333,ENSG00000238906,snoU13
0.0132556,1,1.08,2.07,1.923076923076923,ENSG00000148288,GBGT1
0.0132904,1,33.98,16.67,0.49019607843137253,ENSG00000137996,RTCA
0.0133428,1,1.06,1.45,1.36986301369863,ENSG00000264046,RN7SL312P
0.0133568,1,380.29,495.48,1.2987012987012987,ENSG00000152795,HNRNPDL
0.013364,1,1,1.67,1.6666666666666667,ENSG00000273004,GS1-279B7.2
0.0133995,1,1.04,1.95,1.8518518518518516,ENSG00000186451,SPATA12
0.0134251,1,100.37,204.92,2.0408163265306123,ENSG00000156508,EEF1A1
0.0134258,1,1.02,1.37,1.3333333333333333,ENSG00000183580,FBXL7
0.0134258,1,1.02,1.37,1.3333333333333333,ENSG00000213693,SEC14L1P1
0.0134779,1,44.24,32.41,0.7299270072992701,ENSG00000197386,HTT
0.013675,1,1.05,1.45,1.3888888888888888,ENSG00000227321,MTND4P15
0.0137373,1,23.47,11.74,0.5,ENSG00000107742,SPOCK2
0.0137383,1,31.55,17.85,0.5649717514124294,ENSG00000086475,SEPHS1
0.0138209,1,3.01,8.42,2.7777777777777777,ENSG00000099617,EFNA2
0.013854,1,10.78,5,0.46511627906976744,ENSG00000118402,ELOVL4
0.0138562,1,11.24,5.58,0.49504950495049505,ENSG00000114767,RRP9
